Injury Severity,Injury Severity Scale,Date,Time,Speed Limit,Weather,Driver At Fault,Surface Condition,Light,Traffic Control,Driver At Fault,Latitude,Longitude
POSSIBLE INJURY,1,08/28/2016,10:13:00 AM,30,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.99977573,-77.07689166
SUSPECTED MINOR INJURY,2,06/21/2023,08:22:00 PM,40,RAINING,Yes,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.05222333,-77.07585833
SUSPECTED MINOR INJURY,2,08/03/2015,11:17:00 AM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.04108667,-77.052025
POSSIBLE INJURY,1,02/23/2023,01:50:00 PM,40,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.18981483,-77.2666995
SUSPECTED MINOR INJURY,2,03/06/2019,06:00:00 PM,45,CLEAR,No,DRY,DARK LIGHTS ON,NO CONTROLS,No,39.06889167,-77.07539667
POSSIBLE INJURY,1,05/17/2021,10:53:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.192915,-77.271085
SUSPECTED MINOR INJURY,2,05/28/2022,10:57:00 PM,40,CLOUDY,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.11753167,-77.169515
FATAL INJURY,4,02/03/2019,02:46:00 AM,40,,Yes,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,Yes,39.15562,-77.09337667
POSSIBLE INJURY,1,08/31/2019,01:31:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,38.96657656,-77.10627603
POSSIBLE INJURY,1,08/11/2018,11:29:00 AM,45,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.07797321,-77.32716054
SUSPECTED MINOR INJURY,2,02/15/2017,06:12:00 AM,40,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.1193895,-77.172171
SUSPECTED MINOR INJURY,2,01/29/2018,07:41:00 AM,40,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.0441059,-77.06302062
SUSPECTED MINOR INJURY,2,08/24/2021,05:53:00 PM,40,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.16944,-77.17617333
POSSIBLE INJURY,1,03/02/2022,07:27:00 AM,30,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.22171533,-77.38475017
POSSIBLE INJURY,1,06/14/2019,08:50:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.11810167,-77.20668667
POSSIBLE INJURY,1,11/22/2017,05:50:00 PM,40,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.099285,-77.18416333
POSSIBLE INJURY,1,04/18/2017,07:55:00 AM,25,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.06375167,-77.051865
SUSPECTED MINOR INJURY,2,09/15/2017,02:00:00 AM,25,CLEAR,Yes,,DARK LIGHTS ON,,Yes,39.23741167,-77.29042167
SUSPECTED SERIOUS INJURY,3,01/17/2018,10:00:00 PM,35,CLEAR,Yes,ICE,DARK LIGHTS ON,NO CONTROLS,Yes,39.11180762,-76.9534108
SUSPECTED MINOR INJURY,2,03/26/2015,11:01:00 AM,35,RAINING,No,WET,DAYLIGHT,STOP SIGN,No,39.24063,-77.18319167
POSSIBLE INJURY,1,09/28/2020,08:17:00 PM,10,,Yes,,DARK LIGHTS ON,,Yes,39.14874938,-77.20939646
POSSIBLE INJURY,1,03/02/2018,06:42:00 AM,30,WINTRY MIX,No,,DAYLIGHT,NO CONTROLS,No,39.01548167,-77.13324167
POSSIBLE INJURY,1,01/06/2020,04:40:00 PM,35,CLEAR,No,DRY,DAYLIGHT,YIELD SIGN,No,39.07572167,-77.16216167
SUSPECTED MINOR INJURY,2,04/30/2020,01:07:00 PM,40,RAINING,Unknown,WET,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.09311753,-77.1963338
SUSPECTED MINOR INJURY,2,01/31/2018,10:45:00 AM,15,CLEAR,No,,DAYLIGHT,NO CONTROLS,No,38.96266667,-77.08718167
SUSPECTED MINOR INJURY,2,09/21/2017,06:35:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.14519167,-77.21987167
POSSIBLE INJURY,1,05/17/2017,04:59:00 PM,25,CLEAR,No,,DAYLIGHT,STOP SIGN,No,39.02593,-76.96926667
SUSPECTED MINOR INJURY,2,01/23/2020,11:44:00 AM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.15936333,-77.27576167
SUSPECTED MINOR INJURY,2,03/07/2023,03:24:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.0495696,-77.07101479
POSSIBLE INJURY,1,07/25/2019,11:19:00 AM,15,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.07665675,-76.95738974
SUSPECTED MINOR INJURY,2,06/06/2023,09:31:00 PM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.02668027,-77.02066092
SUSPECTED MINOR INJURY,2,04/14/2022,05:30:00 PM,35,CLEAR,No,DRY,DAYLIGHT,OTHER,No,39.03124167,-77.11585
SUSPECTED MINOR INJURY,2,10/07/2017,11:00:00 AM,20,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.01548667,-77.055965
POSSIBLE INJURY,1,12/14/2020,03:43:00 PM,40,CLOUDY,Yes,WET,DAYLIGHT,NO CONTROLS,Yes,39.05125667,-77.13354
POSSIBLE INJURY,1,10/04/2019,10:11:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.19392,-77.184775
SUSPECTED MINOR INJURY,2,05/27/2016,04:43:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.11833667,-77.21617
POSSIBLE INJURY,1,12/22/2019,02:15:00 PM,0,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,38.99509817,-77.02502983
SUSPECTED SERIOUS INJURY,3,06/01/2022,09:22:00 PM,35,CLEAR,No,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,No,39.13219333,-77.18908333
SUSPECTED MINOR INJURY,2,07/16/2022,01:48:00 PM,40,RAINING,Yes,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.05253667,-76.95306667
POSSIBLE INJURY,1,10/10/2015,12:32:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.115604,-77.166199
SUSPECTED MINOR INJURY,2,11/30/2019,07:09:00 PM,35,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.006015,-77.07829667
POSSIBLE INJURY,1,07/12/2022,10:01:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.01415,-77.00427167
SUSPECTED MINOR INJURY,2,05/07/2015,08:45:00 PM,30,CLEAR,No,DRY,DARK LIGHTS ON,STOP SIGN,No,39.15606167,-77.05852667
POSSIBLE INJURY,1,01/03/2015,02:29:00 AM,25,CLEAR,Yes,DRY,DARK LIGHTS ON,,Yes,39.08634667,-77.14739333
SUSPECTED MINOR INJURY,2,05/15/2022,09:21:00 AM,45,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.10955667,-77.07672833
POSSIBLE INJURY,1,12/01/2016,04:53:00 PM,50,CLEAR,Yes,DRY,DUSK,NO CONTROLS,Yes,39.05148667,-76.97923
SUSPECTED MINOR INJURY,2,07/16/2021,07:30:00 AM,30,CLEAR,No,DRY,DAYLIGHT,OTHER,No,39.08311079,-77.1545471
POSSIBLE INJURY,1,12/16/2022,07:01:00 AM,30,,Yes,WET,DAWN,STOP SIGN,Yes,38.98907695,-77.01157787
POSSIBLE INJURY,1,09/20/2018,12:41:00 AM,30,CLEAR,No,DRY,DARK LIGHTS ON,,No,38.99293561,-77.02658679
SUSPECTED MINOR INJURY,2,10/14/2015,08:03:00 AM,40,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.0142014,-77.0041493
SUSPECTED MINOR INJURY,2,03/28/2015,05:15:00 AM,40,CLEAR,No,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,No,39.05651,-76.95291833
POSSIBLE INJURY,1,12/07/2017,01:40:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.0040446,-77.02369809
POSSIBLE INJURY,1,01/07/2023,01:15:00 PM,30,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.99114667,-77.02715167
POSSIBLE INJURY,1,10/07/2017,07:08:00 PM,30,,No,,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.01596607,-77.04272032
POSSIBLE INJURY,1,04/15/2017,11:52:00 AM,40,CLOUDY,Yes,DRY,DAYLIGHT,,Yes,39.01664,-76.97746167
POSSIBLE INJURY,1,03/16/2016,01:15:00 PM,40,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.16135333,-77.201645
SUSPECTED MINOR INJURY,2,11/04/2015,04:23:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.02983,-77.12635167
SUSPECTED MINOR INJURY,2,02/16/2017,12:34:00 PM,25,CLOUDY,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.03806667,-77.0528
POSSIBLE INJURY,1,04/04/2019,09:55:00 AM,40,CLOUDY,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.0644,-76.96936833
SUSPECTED MINOR INJURY,2,11/08/2015,05:54:00 AM,40,CLEAR,No,DRY,DARK LIGHTS ON,,No,39.20929597,-77.24043131
SUSPECTED MINOR INJURY,2,06/06/2015,09:13:00 PM,40,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.10631833,-76.91888333
POSSIBLE INJURY,1,05/12/2023,10:12:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,,Yes,39.05581667,-77.081485
SUSPECTED MINOR INJURY,2,10/02/2018,03:38:00 PM,35,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.0038,-77.13811333
SUSPECTED MINOR INJURY,2,03/03/2015,07:12:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.20104833,-77.193125
SUSPECTED MINOR INJURY,2,04/13/2016,03:43:00 PM,30,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.11514,-77.12166833
SUSPECTED MINOR INJURY,2,08/06/2015,01:00:00 PM,40,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.985065,-77.09344167
POSSIBLE INJURY,1,11/19/2017,05:00:00 PM,35,CLEAR,No,DRY,,TRAFFIC SIGNAL,No,39.13926833,-77.20527
SUSPECTED MINOR INJURY,2,07/15/2015,11:17:00 AM,35,CLOUDY,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.05761,-77.0778
SUSPECTED MINOR INJURY,2,10/28/2015,07:57:00 AM,45,RAINING,No,WET,DAYLIGHT,STOP SIGN,No,39.03750299,-76.99913979
SUSPECTED MINOR INJURY,2,04/13/2016,05:44:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,,Yes,39.15372833,-77.19989
POSSIBLE INJURY,1,10/20/2021,06:52:00 PM,35,CLEAR,No,DRY,DARK LIGHTS ON,STOP SIGN,No,39.07949667,-76.94517
POSSIBLE INJURY,1,12/31/2021,11:44:00 AM,25,CLOUDY,No,WET,DAYLIGHT,STOP SIGN,No,39.07254167,-77.068475
SUSPECTED MINOR INJURY,2,07/18/2022,11:47:00 PM,25,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,38.98532333,-77.09772167
POSSIBLE INJURY,1,02/19/2021,08:13:00 AM,45,WINTRY MIX,Yes,WET,DAYLIGHT,NO CONTROLS,Yes,39.07795667,-77.08084167
POSSIBLE INJURY,1,05/17/2021,12:53:00 PM,35,,No,DRY,DAYLIGHT,NO CONTROLS,No,39.06675105,-77.05907991
POSSIBLE INJURY,1,04/04/2019,12:54:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.181045,-77.26215667
SUSPECTED SERIOUS INJURY,3,10/15/2019,06:15:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,STOP SIGN,Yes,39.03530428,-77.06827537
POSSIBLE INJURY,1,01/15/2022,06:20:00 PM,35,CLEAR,Yes,DRY,DARK NO LIGHTS,STOP SIGN,Yes,39.01328431,-77.01660909
POSSIBLE INJURY,1,10/02/2022,12:44:00 PM,40,RAINING,No,WET,DAYLIGHT,TRAFFIC SIGNAL,No,39.105815,-77.15232667
SUSPECTED SERIOUS INJURY,3,06/05/2019,08:15:00 AM,40,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.16906833,-77.08847333
POSSIBLE INJURY,1,01/19/2016,06:15:00 PM,40,CLEAR,No,DRY,DARK LIGHTS ON,NO CONTROLS,No,39.17196,-77.27647167
SUSPECTED MINOR INJURY,2,09/03/2019,07:15:00 AM,50,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.15570167,-77.276715
POSSIBLE INJURY,1,09/28/2020,09:15:00 AM,30,CLOUDY,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.01257233,-77.0020605
POSSIBLE INJURY,1,01/10/2020,08:03:00 PM,45,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.056121,-76.97106317
POSSIBLE INJURY,1,01/26/2022,09:20:00 PM,35,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.03066151,-77.12639885
SUSPECTED MINOR INJURY,2,06/16/2016,09:35:00 AM,35,,Yes,WET,DAYLIGHT,NO CONTROLS,Yes,39.10581984,-77.07377627
POSSIBLE INJURY,1,03/27/2022,10:16:00 PM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.03154833,-77.04803667
SUSPECTED SERIOUS INJURY,3,06/28/2020,06:56:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.15784433,-77.2039337
SUSPECTED MINOR INJURY,2,10/16/2015,07:42:00 PM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.01512,-77.16041333
SUSPECTED MINOR INJURY,2,07/25/2021,07:40:00 PM,35,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.05631167,-77.11892667
SUSPECTED MINOR INJURY,2,10/12/2019,04:17:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.02938434,-77.07612184
POSSIBLE INJURY,1,10/26/2019,12:30:00 PM,25,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,38.987265,-77.10689667
POSSIBLE INJURY,1,10/16/2018,01:13:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,,Yes,39.036765,-77.050895
POSSIBLE INJURY,1,12/04/2017,07:00:00 PM,35,,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.00825167,-77.02006833
POSSIBLE INJURY,1,11/25/2021,01:00:00 AM,50,CLEAR,No,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,No,39.150825,-77.17452167
SUSPECTED MINOR INJURY,2,11/21/2019,12:06:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.09451333,-77.02742833
SUSPECTED SERIOUS INJURY,3,10/06/2022,05:29:00 AM,30,,No,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,No,39.28464333,-77.20998333
POSSIBLE INJURY,1,05/25/2018,07:04:00 AM,30,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,38.99363877,-76.99148074
SUSPECTED MINOR INJURY,2,06/12/2022,12:06:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.04659417,-76.98659883
POSSIBLE INJURY,1,01/13/2018,08:30:00 AM,35,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.97315167,-77.12216333
SUSPECTED MINOR INJURY,2,09/06/2019,11:32:00 AM,40,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.1891515,-77.251179
SUSPECTED MINOR INJURY,2,08/02/2017,08:00:00 AM,35,CLEAR,Yes,DRY,,STOP SIGN,Yes,39.074025,-76.95646833
POSSIBLE INJURY,1,08/09/2018,06:00:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.14783,-77.21806167
SUSPECTED MINOR INJURY,2,11/19/2018,10:12:00 AM,45,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.19210833,-77.242795
POSSIBLE INJURY,1,06/27/2018,11:20:00 AM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.08173667,-77.14570333
SUSPECTED MINOR INJURY,2,12/05/2022,03:24:00 PM,25,CLEAR,Yes,,DAYLIGHT,NO CONTROLS,Yes,39.1888382,-77.27185994
SUSPECTED MINOR INJURY,2,08/03/2015,12:01:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.10594667,-77.00149667
POSSIBLE INJURY,1,05/28/2017,11:45:00 AM,50,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.12839667,-77.07094167
POSSIBLE INJURY,1,06/01/2016,06:05:00 PM,25,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.09867333,-77.141225
SUSPECTED MINOR INJURY,2,04/22/2018,10:20:00 AM,0,CLEAR,Yes,DRY,DAYLIGHT,,Yes,38.97916333,-76.991125
POSSIBLE INJURY,1,04/05/2018,06:26:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.13257,-77.121285
POSSIBLE INJURY,1,10/04/2019,09:41:00 AM,50,,No,DRY,DAYLIGHT,,No,39.12807167,-77.23735
POSSIBLE INJURY,1,10/27/2021,09:55:00 PM,45,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.05790833,-77.085585
POSSIBLE INJURY,1,10/29/2016,06:11:00 AM,40,CLEAR,No,DRY,DUSK,,No,39.08665324,-77.1752429
POSSIBLE INJURY,1,02/08/2019,12:36:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.14169854,-77.21744498
POSSIBLE INJURY,1,05/03/2022,08:45:00 PM,35,,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.03440233,-77.12522531
SUSPECTED SERIOUS INJURY,3,10/17/2020,12:58:00 PM,25,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.18481667,-77.23718167
SUSPECTED MINOR INJURY,2,08/11/2021,05:32:00 PM,40,RAINING,Yes,WET,DAYLIGHT,NO CONTROLS,Yes,39.02814283,-76.98287133
POSSIBLE INJURY,1,08/28/2020,12:38:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.09340333,-77.035745
SUSPECTED MINOR INJURY,2,11/02/2019,07:50:00 AM,35,CLEAR,Unknown,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,39.17247667,-77.152783
POSSIBLE INJURY,1,02/20/2018,05:45:00 PM,30,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.055515,-76.95721833
POSSIBLE INJURY,1,10/29/2015,04:31:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.1897745,-77.15171658
POSSIBLE INJURY,1,08/14/2022,09:29:00 PM,30,CLEAR,No,DRY,DARK LIGHTS ON,NO CONTROLS,No,39.04712012,-77.04490054
SUSPECTED MINOR INJURY,2,02/12/2020,07:43:00 PM,35,RAINING,No,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.10640833,-77.15211167
POSSIBLE INJURY,1,09/19/2016,03:02:00 PM,55,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.00609333,-77.15343
POSSIBLE INJURY,1,04/18/2019,03:15:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.00262,-77.07708333
POSSIBLE INJURY,1,02/17/2019,09:07:00 PM,25,RAINING,No,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.15782333,-77.21345333
SUSPECTED MINOR INJURY,2,07/15/2023,03:53:00 PM,30,CLEAR,Yes,DRY,DAYLIGHT,STOP SIGN,Yes,39.05850333,-77.07101833
SUSPECTED MINOR INJURY,2,01/23/2020,01:50:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,38.99748333,-77.10978283
POSSIBLE INJURY,1,02/25/2017,02:47:00 PM,40,CLOUDY,Yes,DRY,DAYLIGHT,,Yes,38.99549167,-76.99291833
POSSIBLE INJURY,1,03/10/2023,04:20:00 PM,40,RAINING,No,WET,DAYLIGHT,TRAFFIC SIGNAL,No,39.12028167,-76.98905
SUSPECTED SERIOUS INJURY,3,07/28/2015,07:00:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,,Yes,39.05326833,-77.08806667
SUSPECTED MINOR INJURY,2,03/30/2015,08:05:00 AM,30,CLEAR,Yes,DRY,DAYLIGHT,STOP SIGN,Yes,38.99931833,-77.01651833
POSSIBLE INJURY,1,04/16/2019,02:51:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.08450167,-77.13567833
SUSPECTED MINOR INJURY,2,09/21/2018,11:26:00 AM,40,CLOUDY,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.12629933,-77.21149867
SUSPECTED MINOR INJURY,2,04/10/2018,12:16:00 PM,40,,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.052795,-77.07668833
SUSPECTED MINOR INJURY,2,03/01/2016,06:32:00 PM,40,,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.10811033,-77.0818913
SUSPECTED SERIOUS INJURY,3,12/14/2015,03:26:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,NO CONTROLS,No,39.14064986,-77.21418858
POSSIBLE INJURY,1,06/02/2023,04:51:00 PM,30,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,38.9934545,-77.0326165
POSSIBLE INJURY,1,05/25/2022,01:33:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.06337548,-76.96580739
SUSPECTED MINOR INJURY,2,06/17/2020,10:18:00 AM,0,CLOUDY,No,,DAYLIGHT,NO CONTROLS,No,39.03382767,-77.07577233
POSSIBLE INJURY,1,10/16/2019,09:30:00 AM,35,RAINING,No,WET,DAYLIGHT,NO CONTROLS,No,39.06639817,-77.05925167
POSSIBLE INJURY,1,10/30/2016,06:20:00 PM,25,RAINING,Yes,WET,DARK LIGHTS ON,NO CONTROLS,Yes,38.98430833,-77.08966167
SUSPECTED MINOR INJURY,2,08/23/2019,03:01:00 PM,0,RAINING,No,,DAYLIGHT,,No,39.08322167,-76.946785
SUSPECTED MINOR INJURY,2,02/14/2020,02:15:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.0906,-77.05901833
SUSPECTED MINOR INJURY,2,06/06/2015,04:22:00 PM,35,,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.19170667,-77.272
POSSIBLE INJURY,1,08/19/2020,11:30:00 PM,55,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.072991,-76.955722
POSSIBLE INJURY,1,01/03/2018,08:17:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.16439333,-77.27321833
POSSIBLE INJURY,1,12/15/2020,06:00:00 PM,35,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.15602478,-77.2158151
POSSIBLE INJURY,1,07/27/2018,11:21:00 AM,40,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,38.986235,-77.143715
SUSPECTED MINOR INJURY,2,11/16/2019,01:05:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.10371,-77.20655167
SUSPECTED MINOR INJURY,2,09/15/2016,11:39:00 AM,40,,No,DRY,DAYLIGHT,NO CONTROLS,No,39.14185333,-76.99807833
SUSPECTED MINOR INJURY,2,08/11/2015,06:12:00 AM,30,RAINING,No,WET,DARK LIGHTS ON,STOP SIGN,No,39.089125,-77.09440833
POSSIBLE INJURY,1,07/22/2020,02:39:00 PM,35,CLEAR,No,DRY,DAYLIGHT,STOP SIGN,No,39.08515333,-77.07861
SUSPECTED MINOR INJURY,2,09/02/2016,01:03:00 PM,35,CLOUDY,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.13219078,-77.18879342
SUSPECTED SERIOUS INJURY,3,01/30/2022,03:51:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,38.98292726,-76.98855286
SUSPECTED MINOR INJURY,2,01/09/2016,04:59:00 AM,45,RAINING,No,WET,DARK LIGHTS ON,,No,39.0575598,-77.08513677
POSSIBLE INJURY,1,05/23/2015,05:07:00 PM,35,CLEAR,Yes,,DAYLIGHT,STOP SIGN,Yes,39.00128487,-76.98614985
SUSPECTED MINOR INJURY,2,02/03/2017,04:19:00 PM,40,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.12266333,-77.07332
POSSIBLE INJURY,1,03/26/2019,12:53:00 PM,45,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.08874167,-77.17784333
POSSIBLE INJURY,1,04/13/2018,08:21:00 AM,25,CLEAR,Yes,DRY,DAYLIGHT,STOP SIGN,Yes,39.06613,-77.06271
SUSPECTED MINOR INJURY,2,03/25/2022,02:25:00 PM,40,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.980382,-77.13337045
SUSPECTED MINOR INJURY,2,06/04/2018,06:31:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.03952,-77.054225
SUSPECTED MINOR INJURY,2,09/05/2021,04:15:00 PM,40,CLOUDY,Yes,WET,DAYLIGHT,NO CONTROLS,Yes,38.99575894,-77.03891822
SUSPECTED SERIOUS INJURY,3,11/20/2018,07:41:00 PM,40,CLEAR,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.17683667,-77.17867167
POSSIBLE INJURY,1,11/18/2015,08:07:00 AM,45,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.09495333,-77.00172833
POSSIBLE INJURY,1,12/20/2018,02:15:00 PM,30,RAINING,No,WET,DAYLIGHT,NO CONTROLS,No,39.13685167,-77.192875
POSSIBLE INJURY,1,07/25/2016,05:48:00 PM,40,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.12072333,-77.03856333
SUSPECTED MINOR INJURY,2,08/21/2017,09:38:00 PM,45,CLEAR,No,DRY,DARK LIGHTS ON,NO CONTROLS,No,39.19904833,-77.24493
SUSPECTED MINOR INJURY,2,03/08/2019,10:27:00 PM,30,,No,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.13529833,-77.191485
